Status,KB link,Ticket link,Ticket Title,Target page,Simplified ticket description,Proposed content,Additional information,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000JZdBYAW/view,https://jira.braze.com/browse/BD-4479,How to embed YouTube videos In IAMs,Video,Add nuances for embedding YouTube videos,"> To play a non-YouTube video in an HTML in-app message, include the following <video> element in your HTML, and replace the video names with your file’s name (or the remote asset’s URL). You can find other possible <video> options on MDN Web Docs.

[.........]

## Android considerations

To embed video and other HTML5 content in HTML in-app messages on Android, hardware acceleration is required to be enabled in the Activity where the in-app message is displayed. Hardware acceleration is only available on Android API versions 11 and later. For more information, refer to the Android developer guide. 

Android doesn't support autoplay.

## iOS considerations

To support iOS devices:
- You must include the `playsinline` attribute because full screen playback is not supported at this time.
- iOS doesn't support autoplay by default. To update this default option, you can modify the ABKInAppMessageHTMLViewController. 

### How YouTube videos display

- YouTube-embedded in-app messages display directly inside the app. 
- YouTube-embedded in-app messages display in a separate tab within the app. 
- In-app message text won't display.

## Web considerations

To autoplay YouTube videos, add the UTM parameter of `&autoplay=1`. For example, the following video will autoplay, be muted (`&mute=1`), and show no controls (`&controls=0`).

``` 
<iframe class=""video"" src=""https://www.youtube.com/embed/VPIPAc4oQqw?autoplay=1&mute=1&controls=0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
```

### How YouTube videos display

YouTube-embedded in-app messages will displays directly inside the app.

## Troubleshooting

If your in-app message doesn't display your video, do the following:

- Confirm your URL is valid.
- Confirm you're not missing the `type=""video/mp4""` declaration.
- Add any missing closing tags and fix typos.",,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000IYknYAG/view,https://jira.braze.com/browse/BD-4496,Troubleshooting IAM Impressions vs Unique Impressions,Troubleshooting,Explain why unique impressions might be higher than impressions,"### Impressions are greater than Unique Impressions

If your in-app message performance shows more _Impressions_ than _Unique Impressions_, the following may have happened: 
- If re-eligibilty isn't turned on, users who received the campaign may have more than one device. 
- If your in-app message has a scheduled delay for a few minutes after the trigger event occurs, users may have received the message more than once. 

For more information on re-eligibilty, refer to [Re-eligibility for campaigns and Canvas]({{site.baseurl}}/user_guide/engagement_tools/messaging_fundamentals/reeligibility/).","The information about triggered campaigns with re-eligibility turned on was already included in ""Re-eligibility for campaigns and Canvas""",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000GscLYAS/view,https://jira.braze.com/browse/BD-4462,Connected Content and IAM FAQs,Making a Connected Content API call,Provide answers to frequently asked questions regarding the behavior of Connected Content with In-App Messages (IAM),"### When are Connected Content calls made with in-app messages? Can I run them on click?

A connected Content call is made as soon as the in-app message is delivered to the user's device, regardless of where the Connected Content call occurs in the in-app message. You can delay the call until rendering by checking the box for **Re-evaluate campaign eligibility before displaying**.

### If I use the same Connected Content call in different buttons within my in-app message, where will the call happen?

Braze doesn't tie the call to an on-click event, even if the call is made in a button. If you have multiple buttons with calls, Braze makes a separate call for each button, even if they are identical calls.

### Can I use data added to a user profile by REST API in the same session that user receives an in-app message?

Yes, with some exceptions. For example, let's say a user is within an audience for an in-app message that is awaiting a trigger. That user starts a session, and in the same session data is added to their user profile by REST API. That updated data can be used in the user's in-app message. However, **Re-evaluate campaign eligibility before displaying** must be checked, and Braze won't template the in-app message until it's time to render. 

Also, if the same trigger sends data to Braze **and** triggers the in-app message, you can't add the updated data to the in-app message (even with a scheduled delay). You must have two separate triggers: send the data, and add the data.","I embellished the third FAQ, so it needs an extra close eye.",
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000IEULYA4/view,https://jira.braze.com/browse/BD-4537,Zero Sends for In-App Message Canvas,In-app messages in Canvas,Update docs about in-app messages in Canvas to include information on why a Canvas may show no sends occurred while impressions are logged.,"### Why a Canvas may show zero Sends even though impressions are logged

If _Messages sent_ are always zero for a Canvas containing an in-app message step, this could be because in-app message delivery is different from delivery for other messaging channels.

In-app messages are ""pulled"" by the SDK, rather than ""pushed"" from Braze. Specifically, in-app messages for eligible users are delivered automatically on session start and ""wait"" for the trigger event before displaying. Because eligible users will receive the message when they start a session, Braze won't report this as a send event. When users perform the trigger event, the message will display and Braze will log an impression and mark the Canvas step (or campaign) as received on the user profile. Consequently, the _Sends_ total will be zero for in-app messages.",,
Ready for Review,https://braze.lightning.force.com/lightning/r/Knowledge__kav/ka0VP000000JehhYAC/view,https://jira.braze.com/browse/BD-4164,Campaigns Targeting New Users Surfaced Race Conditions,Race conditions,Provide extra details on how race conditions can occur per messaging channel. ,"In Braze, one of the most common race conditions occurs with messages that target newly created users. The expected order of events is:
1. A user gets created;
2. The same user is immediately targeted for a message, performs a custom event, or logs a custom attribute.

However, in some cases, the second event will trigger first. This means a message is attempting to be sent to a user that doesn’t exist yet. As a result, the user never receives it. This also applies to events or attributes, where the event or attribute attempts to be logged to a user profile that hasn’t been created yet.

In the case of in-app messages, the in-app message must load onto the user's device before being triggered. If the trigger event is part of the onboarding process, or the user exits the segment for the custom event as part of their first session, it's likely the user won't see the in-app message.","Add to ""Scenario 1"" section (targeting new users)","This looks good/ accurate based on the KB article, but the underlying issue is related to how SDKs and IAMs work, so those teams should also review for accuracy."
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
Not Started,,,,,,,,
