priority_phase,nav_title,assigned_writer,Column 4,work_type,proposed_section,current_path,proposed_path,annotation,redirect_needed,pr_branch,notes
NONE (unchanged),Language codes,,Not started,none,Data > Unification > User data > Language codes,_docs/_user_guide/data/unification/user_data/language_codes.md,_docs/_user_guide/data/unification/user_data/language_codes.md,,no,,
2 - Data,FAQ,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > FAQ,_docs/_user_guide/data/distribution/braze_currents/faq.md,_docs/_user_guide/data/unification/cloud_data_ingestion/faq.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Create a formula,Bre,Done,rename + redirect,Data > Unification > Create a formula,_docs/_user_guide/data/unification/creating_a_formula.md,_docs/_user_guide/data/unification/create_a_formula.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Anonymous users,Bre,Done,move + redirect,Data > Unification > User data > Anonymous users,_docs/_user_guide/data/unification/user_data/user_profile_lifecycle/anonymous_users.md,_docs/_user_guide/data/unification/user_data/anonymous_users.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Collection best practices,Bre,Done,rename + redirect,Data > Unification > User data > Collection best practices,_docs/_user_guide/data/unification/user_data/best_practices.md,_docs/_user_guide/data/unification/user_data/collection_best_practices.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Activation,Bre,Done,rewrite,Data > Activation,_docs/_user_guide/data/activation.md,_docs/_user_guide/data/activation.md,Landing page describes what “custom data” means in Braze. Includes tile linking to Report metrics glossary. Remove glossary link from left-nav,no,https://github.com/braze-inc/braze-docs/pull/12255,Landing page rewritten to describe custom data in Braze. Report metrics glossary tile added under More articles. Glossary link removed from left nav.
2 - Data,Attributes,Bre,Done,create,Data > Activation > Attributes,,_docs/_user_guide/data/activation/attributes.md,"new landing page, an overview of attributes similar to the one for events",no,https://github.com/braze-inc/braze-docs/pull/12255,New landing page created with overview of standard and custom attributes.
2 - Data,Custom attributes,Bre,Done,move + redirect,Data > Activation > Attributes > Custom attributes,_docs/_user_guide/data/activation/custom_data/custom_attributes.md,_docs/_user_guide/data/activation/attributes/custom_attributes.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Array of objects,Bre,Done,move + redirect,Data > Activation > Attributes > Array of objects,_docs/_user_guide/data/activation/custom_data/custom_attributes/array_of_objects.md,_docs/_user_guide/data/activation/attributes/array_of_objects.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Nested custom attributes,Bre,Done,move + redirect,Data > Activation > Attributes > Nested custom attributes,_docs/_user_guide/data/activation/custom_data/custom_attributes/nested_custom_attribute_support.md,_docs/_user_guide/data/activation/attributes/nested_custom_attributes.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Data types,Bre,Done,create,Data > Activation > Attributes > Data types,,_docs/_user_guide/data/activation/attributes/data_types.md,"new article, pulls ""Custom attribute data types"" content",no,https://github.com/braze-inc/braze-docs/pull/12255,"New article created by extracting ""Custom attribute data types"" from custom_attributes.md."
2 - Data,Events,Bre,Done,rewrite,Data > Activation > Events,_docs/_user_guide/data/activation/custom_data/events.md,_docs/_user_guide/data/activation/events.md,update landing page with recommended events,yes,https://github.com/braze-inc/braze-docs/pull/12255,Landing page rewritten to include recommended events overview. Uses HTML line breaks for formatting.
2 - Data,Custom events,Bre,Done,move + redirect,Data > Activation > Events > Custom events,_docs/_user_guide/data/activation/custom_data/custom_events.md,_docs/_user_guide/data/activation/events/custom_events.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
NONE (unchanged),Catalogs,,Not started,none,Data > Activation > Catalogs,_docs/_user_guide/data/activation/catalogs.md,_docs/_user_guide/data/activation/catalogs.md,,no,,
2 - Data,Recommented events,Bre,Done,move + redirect,Data > Activation > Events > Recommented events,_docs/_user_guide/data/activation/custom_data/recommended_events.md,_docs/_user_guide/data/activation/events/recommented_events.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,eCommerce recommended events,Bre,Done,move + redirect,Data > Activation > Events > Recommented events > eCommerce recommended events,_docs/_user_guide/data/activation/custom_data/recommended_events/ecommerce_events.md,_docs/_user_guide/data/activation/events/recommented_events/ecommerce_recommended_events.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Purchase events,Bre,Done,move + redirect,Data > Activation > Events > Recommented events > Purchase events,_docs/_user_guide/data/activation/custom_data/purchase_events.md,_docs/_user_guide/data/activation/events/recommented_events/purchase_events.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
NONE (unchanged),Distribution,,Not started,none,Data > Distribution,_docs/_user_guide/data/distribution.md,_docs/_user_guide/data/distribution.md,,no,,
2 - Data,Event naming conventions,Bre,Done,move + redirect,Data > Activation > Events > Event naming conventions,_docs/_user_guide/data/activation/custom_data/event_naming_conventions.md,_docs/_user_guide/data/activation/events/event_naming_conventions.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Tags,Bre,Done,move + redirect,Data > Activation > Tags,_docs/_user_guide/administrative/app_settings/tags.md,_docs/_user_guide/data/activation/tags.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,"Split from Administer version. This copy covers campaign/Canvas/segment tags, bulk tagging, viewing/filtering by tag, custom data tags."
2 - Data,Manage custom data,Bre,Done,create,Data > Activation > Manage custom data,,_docs/_user_guide/data/activation/manage_custom_data.md,"new article, one page for how to manage custom events / attributes. Topics to include: Adding descriptions, adding tags, blocklisting, pre-populating custom data, managing event properties, forcing data type comparisons, removing events or attributes, marking custom attributes as PII",no,https://github.com/braze-inc/braze-docs/pull/12255,New article created covering both custom events and attributes.
2 - Data,Blocklist custom data,Bre,Done,create,Data > Activation > Blocklist custom data,,_docs/_user_guide/data/activation/blocklist_custom_data.md,new article one page for how to blocklist and delete custom events and attributes,no,https://github.com/braze-inc/braze-docs/pull/12255,New article created for blocklisting and deleting custom events and attributes.
2 - Data,Currents,Bre,Done,rename + redirect,Data > Distribution > Currents,_docs/_user_guide/data/distribution/braze_currents.md,_docs/_user_guide/data/distribution/currents.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,Renamed from braze_currents. Use cases landing page created as child.
2 - Data,Set up Currents,Bre,Done,move + redirect,Data > Distribution > Currents > Set up Currents,_docs/_user_guide/data/distribution/braze_currents/setting_up_currents.md,_docs/_user_guide/data/distribution/currents/set_up_currents.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Available partners,Bre,Done,move + redirect,Data > Distribution > Currents > Set up Currents > Available partners,_docs/_user_guide/data/distribution/braze_currents/available_partners.md,_docs/_user_guide/data/distribution/currents/set_up_currents/available_partners.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Event delivery semantics,Bre,Done,move + redirect,Data > Distribution > Currents > Set up Currents > Event delivery semantics,_docs/_user_guide/data/distribution/braze_currents/event_delivery_semantics.md,_docs/_user_guide/data/distribution/currents/set_up_currents/event_delivery_semantics.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Currents event glossary,Bre,Done,move + redirect,Data > Distribution > Currents > Currents event glossary,_docs/_user_guide/data/distribution/braze_currents/event_glossary.md,_docs/_user_guide/data/distribution/currents/currents_event_glossary.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Customer behavior and user events,Bre,Done,move + redirect,Data > Distribution > Currents > Currents event glossary > Customer behavior and user events,_docs/_user_guide/data/distribution/braze_currents/event_glossary/customer_behavior_events.md,_docs/_user_guide/data/distribution/currents/currents_event_glossary/customer_behavior_and_user_events.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Message engagement events,Bre,Done,move + redirect,Data > Distribution > Currents > Currents event glossary > Message engagement events,_docs/_user_guide/data/distribution/braze_currents/event_glossary/message_engagement_events.md,_docs/_user_guide/data/distribution/currents/currents_event_glossary/message_engagement_events.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Currents event changelogs,Bre,Done,move + redirect,Data > Distribution > Currents > Currents event glossary > Currents event changelogs,_docs/_user_guide/data/distribution/braze_currents/event_glossary/currents_changelogs.md,_docs/_user_guide/data/distribution/currents/currents_event_glossary/currents_event_changelogs.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Use cases,Bre,Done,move + redirect,Data > Distribution > Currents > Use cases,_docs/_user_guide/data/unification/data_transformation/use_cases.md,_docs/_user_guide/data/distribution/currents/use_cases.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,New landing page created to group Currents use case articles.
NONE (unchanged),Export Braze data,,Not started,none,Data > Distribution > Export Braze data,_docs/_user_guide/data/distribution/export_braze_data.md,_docs/_user_guide/data/distribution/export_braze_data.md,,no,,
NONE (unchanged),Message archiving,,Not started,none,Data > Distribution > Export Braze data > Message archiving,_docs/_user_guide/data/distribution/export_braze_data/message_archiving.md,_docs/_user_guide/data/distribution/export_braze_data/message_archiving.md,,no,,
2 - Data,Transfer data from Amazon S3 to Snowflake,Bre,Done,move + redirect,Data > Distribution > Currents > Use cases > Transfer data from Amazon S3 to Snowflake,_docs/_user_guide/data/distribution/braze_currents/s3_to_snowflake.md,_docs/_user_guide/data/distribution/currents/use_cases/transfer_data_from_amazon_s3_to_snowflake.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
